Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
ATL,ATL,153,1496,5,0.468343,0.585031,13225.92824,0.196238,0.196238,0
ORD,ORD,149,752,5,0.507996,0.598827,18792.454415,0.192769,0.192769,0
MIA,MIA,49,242,5,0.423862,0.483488,1196.687949,0.116859,0.116859,0
JFK,JFK,57,327,5,0.427892,0.49213,360.3388,0.129045,0.129045,0
MSY,MSY,38,244,6,0.409091,0.467778,83.110629,0.109229,0.109229,0
DEN,DEN,149,653,5,0.510397,0.60037,22764.784271,0.181928,0.181928,2
DFW,DFW,138,657,5,0.460751,0.569907,11948.572881,0.181899,0.181899,6
SFO,SFO,71,298,5,0.434433,0.506636,3759.116794,0.129939,0.129939,2
LAX,LAX,85,606,5,0.477454,0.538333,7809.358613,0.146637,0.146637,2
JAX,JAX,24,85,6,0.391872,0.441235,3.62111,0.076892,0.076892,0
RDU,RDU,36,149,6,0.406627,0.464074,66.823015,0.104919,0.104919,0
LAS,LAS,113,404,5,0.493151,0.566728,9258.956561,0.170006,0.170006,2
PHX,PHX,77,441,5,0.473684,0.530617,5032.985212,0.145233,0.145233,2
IND,IND,32,130,6,0.403889,0.458827,63.547831,0.095726,0.095726,0
PHL,PHL,88,412,5,0.440098,0.522068,3409.459573,0.156197,0.156197,0
IAH,IAH,101,287,5,0.445545,0.534722,4551.402163,0.16149,0.16149,6
IAD,IAD,81,214,5,0.435484,0.513735,5261.064521,0.144033,0.144033,0
PBI,PBI,19,74,6,0.372928,0.418549,25.631523,0.055984,0.055984,0
CMH,CMH,31,122,6,0.400297,0.454506,19.634618,0.093258,0.093258,0
MCI,MCI,41,155,5,0.423197,0.477932,957.290898,0.11087,0.11087,0
MCO,MCO,74,348,5,0.435484,0.509414,1727.402436,0.146206,0.146206,0
SAN,SAN,50,207,5,0.424862,0.485031,789.777526,0.114535,0.114535,2
FLL,FLL,58,226,5,0.42654,0.491512,1603.765711,0.1258,0.1258,0
HNL,HNL,28,123,5,0.429594,0.464877,2208.667068,0.058777,0.058777,2
DTW,DTW,114,340,5,0.450751,0.547068,5193.158335,0.17456,0.17456,0
RSW,RSW,31,120,6,0.392727,0.446636,127.848564,0.079537,0.079537,0
CLT,CLT,110,477,5,0.449251,0.543364,6263.728451,0.171432,0.171432,0
STL,STL,56,209,5,0.427553,0.491204,4183.028914,0.124429,0.124429,0
SJC,SJC,27,104,5,0.402085,0.449074,94.779913,0.062457,0.062457,2
MSP,MSP,117,380,5,0.493151,0.569198,12395.027848,0.171941,0.171941,2
TPA,TPA,63,253,5,0.427553,0.495525,678.142168,0.135052,0.135052,0
LGA,LGA,65,282,6,0.408163,0.483519,472.661492,0.122416,0.122416,0
BOS,BOS,70,291,5,0.434084,0.50571,6662.973439,0.138262,0.138262,0
OGG,OGG,20,80,5,0.382979,0.424691,1436.286012,0.034913,0.034913,2
BWI,BWI,63,261,5,0.429253,0.497068,482.52772,0.1398,0.1398,0
BDL,BDL,23,93,6,0.38961,0.438302,7.44982,0.070697,0.070697,0
AUS,AUS,39,153,5,0.416988,0.471296,236.608748,0.103425,0.103425,2
DCA,DCA,85,364,5,0.43654,0.51713,1858.993021,0.152857,0.152857,0
