Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,IATA,Latitude,Longitude
ATL,ATL,153,1496,5,0.468343,0.585031,13225.92824,0.196238,0.196238,0,ATL,33.6367,-84.428101
ORD,ORD,149,752,5,0.507996,0.598827,18792.454415,0.192769,0.192769,0,ORD,41.9786,-87.9048
MIA,MIA,49,242,5,0.423862,0.483488,1196.687949,0.116859,0.116859,0,MIA,25.79319953918457,-80.29060363769531
JFK,JFK,57,327,5,0.427892,0.49213,360.3388,0.129045,0.129045,0,JFK,40.63980103,-73.77890015
MSY,MSY,38,244,6,0.409091,0.467778,83.110629,0.109229,0.109229,0,MSY,29.99340057373047,-90.25800323486328
DEN,DEN,149,653,5,0.510397,0.60037,22764.784271,0.181928,0.181928,2,DEN,39.861698150635,-104.672996521
DFW,DFW,138,657,5,0.460751,0.569907,11948.572881,0.181899,0.181899,6,DFW,32.896801,-97.038002
SFO,SFO,71,298,5,0.434433,0.506636,3759.116794,0.129939,0.129939,2,SFO,37.61899948120117,-122.375
LAX,LAX,85,606,5,0.477454,0.538333,7809.358613,0.146637,0.146637,2,LAX,33.94250107,-118.4079971
JAX,JAX,24,85,6,0.391872,0.441235,3.62111,0.076892,0.076892,0,JAX,30.49410057067871,-81.68789672851562
RDU,RDU,36,149,6,0.406627,0.464074,66.823015,0.104919,0.104919,0,RDU,35.87760162353516,-78.7874984741211
LAS,LAS,113,404,5,0.493151,0.566728,9258.956561,0.170006,0.170006,2,LAS,36.08010101,-115.1520004
PHX,PHX,77,441,5,0.473684,0.530617,5032.985212,0.145233,0.145233,2,PHX,33.43429946899414,-112.01200103759766
IND,IND,32,130,6,0.403889,0.458827,63.547831,0.095726,0.095726,0,IND,39.7173,-86.294403
PHL,PHL,88,412,5,0.440098,0.522068,3409.459573,0.156197,0.156197,0,PHL,39.87189865112305,-75.24109649658203
IAH,IAH,101,287,5,0.445545,0.534722,4551.402163,0.16149,0.16149,6,IAH,29.98439979553223,-95.34140014648438
IAD,IAD,81,214,5,0.435484,0.513735,5261.064521,0.144033,0.144033,0,IAD,38.94449997,-77.45580292
PBI,PBI,19,74,6,0.372928,0.418549,25.631523,0.055984,0.055984,0,PBI,26.68320083618164,-80.09559631347656
CMH,CMH,31,122,6,0.400297,0.454506,19.634618,0.093258,0.093258,0,CMH,39.998001,-82.891899
MCI,MCI,41,155,5,0.423197,0.477932,957.290898,0.11087,0.11087,0,MCI,39.2976,-94.713898
MCO,MCO,74,348,5,0.435484,0.509414,1727.402436,0.146206,0.146206,0,MCO,28.429399490356445,-81.30899810791016
SAN,SAN,50,207,5,0.424862,0.485031,789.777526,0.114535,0.114535,2,SAN,32.7336006165,-117.190002441
FLL,FLL,58,226,5,0.42654,0.491512,1603.765711,0.1258,0.1258,0,FLL,26.072599,-80.152702
HNL,HNL,28,123,5,0.429594,0.464877,2208.667068,0.058777,0.058777,2,HNL,21.32062,-157.924228
DTW,DTW,114,340,5,0.450751,0.547068,5193.158335,0.17456,0.17456,0,DTW,42.212398529052734,-83.35340118408203
RSW,RSW,31,120,6,0.392727,0.446636,127.848564,0.079537,0.079537,0,RSW,26.53619956970215,-81.75520324707031
CLT,CLT,110,477,5,0.449251,0.543364,6263.728451,0.171432,0.171432,0,CLT,35.2140007019043,-80.94309997558594
STL,STL,56,209,5,0.427553,0.491204,4183.028914,0.124429,0.124429,0,STL,38.748697,-90.370003
SJC,SJC,27,104,5,0.402085,0.449074,94.779913,0.062457,0.062457,2,SJC,37.362598,-121.929001
MSP,MSP,117,380,5,0.493151,0.569198,12395.027848,0.171941,0.171941,2,MSP,44.882,-93.221802
TPA,TPA,63,253,5,0.427553,0.495525,678.142168,0.135052,0.135052,0,TPA,27.975500106811523,-82.533203125
LGA,LGA,65,282,6,0.408163,0.483519,472.661492,0.122416,0.122416,0,LGA,40.77719879,-73.87259674
BOS,BOS,70,291,5,0.434084,0.50571,6662.973439,0.138262,0.138262,0,BOS,42.36429977,-71.00520325
OGG,OGG,20,80,5,0.382979,0.424691,1436.286012,0.034913,0.034913,2,OGG,20.8986,-156.429993
BWI,BWI,63,261,5,0.429253,0.497068,482.52772,0.1398,0.1398,0,BWI,39.1754,-76.668297
BDL,BDL,23,93,6,0.38961,0.438302,7.44982,0.070697,0.070697,0,BDL,41.9388999939,-72.68319702149999
AUS,AUS,39,153,5,0.416988,0.471296,236.608748,0.103425,0.103425,2,AUS,30.194499969482425,-97.6698989868164
DCA,DCA,85,364,5,0.43654,0.51713,1858.993021,0.152857,0.152857,0,DCA,38.8521,-77.037697
CVG,CVG,43,135,6,0.409712,0.471481,926.057946,0.107875,0.107875,0,CVG,39.0488014221,-84.6678009033
EWR,EWR,72,225,5,0.435835,0.508488,650.895474,0.152555,0.152555,0,EWR,40.69250106811523,-74.168701171875
MEM,MEM,32,112,6,0.393299,0.44787,1326.207944,0.084117,0.084117,0,MEM,35.04240036010742,-89.97669982910156
PIT,PIT,33,134,6,0.402985,0.458519,14.220386,0.099106,0.099106,0,PIT,40.49150085,-80.23290253
SAT,SAT,30,114,5,0.410334,0.459414,133.25237,0.087041,0.087041,0,SAT,29.533700942993164,-98.46980285644533
ORF,ORF,19,74,6,0.38599,0.431975,2.170648,0.063603,0.063603,0,ORF,36.89459991455078,-76.20120239257812
RIC,RIC,18,74,6,0.378151,0.422716,0.547515,0.05829,0.05829,0,RIC,37.50519943237305,-77.3197021484375
OKC,OKC,22,81,6,0.395315,0.443858,152.07607,0.064653,0.064653,2,OKC,35.39310073852539,-97.60070037841795
MKE,MKE,28,121,5,0.411272,0.458488,18.122527,0.087561,0.087561,0,MKE,42.94720077514648,-87.89659881591797
SMF,SMF,28,102,5,0.404494,0.452315,280.996067,0.067824,0.067824,2,SMF,38.69540023803711,-121.59100341796876
